number,name,category,asterisk2,asterisk3,biggerlinks,smallerlinks,fronttext,backtext,frontimage,backimage
"155","OLD AGE COTTAGE","BUILDINGS","/100%","/100%","40, 75, 153, 154","78, 140, 156, 164, 191, 205, 242","Old people, especially when they are alone, face a terrible dilemma. On the one hand, there are inescapable forces pushing them toward independence: their children move away; the neighborhood changes; their friends and wives and husbands die. On the other hand, by the very nature of aging, old people become dependent on simple conveniences, simple connections to the society about them.","Build small cottages specifically for old people. Build some of them on the land of larger houses, for a grand parent; build others on individual lots, much smaller than ordinary lots. In all cases, place these cottages at ground level, right on the street, where people are walking by, and close to neighborhood services and common land.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//155/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//155/back.gif"
"156","SETTLED WORK","BUILDINGS","/100%","/80%","75, 141, 155","140, 157, 165","The experience of settled work is a prerequisite for peace of mind in old age. Yet our society undermines this experience by making a rift between working life and retirement, and between workplace and home.","Give each person, especially as he grows old, the chance to set up a workplace of his own, within or very near his home. Make it a place that can grow slowly, perhaps in the beginning sustaining a weekend hobby and gradually becoming a complete, productive, and comfortable workshop.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//156/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//156/back.gif"
"157","HOME WORKSHOP","BUILDINGS","/80%","/80%","9, 18, 27, 37, 79","159, 161, 165, 183, 191, 192","As the decentralization of work becomes more and more effective, the workshop in the home grows and grows in importance.","Make a place in the home, where substantial work can be done; not just a hobby, but a job. Change the zoning laws to encourage modest, quiet work operations to locate in neighborhoods. Give the workshop perhaps a few hundred square feet; and locate it so it can be seen from the street and the owner can hang out a shingle.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//157/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//157/back.gif"
"158","OPEN STAIRS","BUILDINGS","/100%","/80%","76, 77, 78, 80, 81, 100, 148, 153, 154, 156, 157","102, 118, 125, 161, 195","Internal staircases reduce the connection between upper stories and the life of the street to such an extent that they can do enormous social damage.","Do away, as far as possible, with internal staircases in institutions. Connect all autonomous households, public services, and workgroups on the upper floors of buildings directly to the ground. Do this by creating open stairs which are approached directly from the street. Keep the stair roofed or unroofed, according to climate, but at all events leave the stair open at ground level, without a door, so that the stair is functionally a continuation of the street. And build no upstairs corridors. Instead, make open landings or an open arcade where upstairs units share a single stair.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//158/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//158/back.gif"
"159","LIGHT ON TWO SIDES OF EVERY ROOM","BUILDINGS","/100%","/100%","106, 107, 107, 109, 116","106, 180, 192, 209, 221, 223, 238","When they have a choice, people will always gravitate to those rooms which have light on two sides, and leave the rooms which are lit only from one side unused and empty.","Locate each room so that it has outdoor space outside it on at least two sides, and then place windows in these outdoor walls so that natural light falls into every room from more than one direction.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//159/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//159/back.gif"
"16","WEB OF PUBLIC TRANSPORTATION","TOWNS","/100%","/80%","3, 11","20, 34","The system of public transportation - the entire web of airplanes, helicopters, hovercraft, trains, boats, ferries, buses, taxis, mini-trains, carts, ski-lifts, moving sidewalks - can only work if all the parts are well connected. But they usually aren't, because the different agencies in charge of various forms of public transportation have no incentives to connect to one another.","Treat interchanges as primary and transportation lines as secondary. Create incentives so that all the different modes of public transportation - airplanes, helicopters, ferries, boats, trains, rapid transit, buses, mini-buses, ski lifts, escalators, travelators, elevator - plan their lines to connect the interchanges, with the hope that gradually many different lines, of many different types, will meet at every interchange.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//16/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//16/back.gif"
"160","BUILDING EDGE","BUILDINGS","/100%","/100%","106, 107, 159","119, 125, 161, 162, 163, 164, 166, 167, 168, 241, 242","A building is most often thought of as something which turns inward - toward its rooms. People do not often think of a building as something which must also be oriented toward the outside.","Make sure that you treat the edge of the building as a ""thing,"" a ""place,"" a zone with volume to it, not a line or interface which has no thickness. Crenelate the edge of buildings with places that invite people to stop. Make places that have depth and a covering, places to sit, lean, and walk, especially at those points along the perimeter which look onto interesting outdoor life.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//160/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//160/back.gif"
"161","SUNNY PLACE","BUILDINGS","/100%","/100%","105, 160, 163","140, 163, 167, 174, 238, 240, 244","The area immediately outside the building, to the south - that angle between its walls and the earth where the sun falls - must be developed and made into a place which lets people bask in it.","Inside a south-facing court, or garden, or yard, find the spot between the building and the outdoors which gets the best sun. Develop this spot as a special sunny place - make it the important outdoor room, a place to work in the sun, or a place for a swing and some special plants, a place to sunbathe. Be very careful indeed to place the sunny place in a position where it is sheltered from the wind. A steady wind will prevent you from using the most beautiful place.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//161/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//161/back.gif"
"162","NORTH FACE","BUILDINGS","/80%","/80%","105, 128, 161","113, 128, 145, 159, 173, 178, 198","Look at the north sides of the buildings which you know. Almost everywhere you will find that these are the spots which are dead and dank, gloomy and useless. Yet there are hundreds of acres in a town on the north sides of buildings; and it is inevitable that there must always be land in this position, wherever there are buildings.","Make the north face of the building a cascade which slopes down to the ground, so that the sun which normally casts a long shadow to the north strikes the ground immediately beside the building.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//162/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//162/back.gif"
"163","OUTDOOR ROOM","BUILDINGS","/100%","/100%","69, 111, 129, 139, 140, 142, 161","168, 173, 174, 191, 205, 226, 243, 244","A garden is the place for lying in the grass, swinging, croquet, growing flowers, throwing a ball for the dog. But there is another way of being outdoors: and its needs are not met by the garden at all.","Build a place outdoors which has so much enclosure round it, that it takes on the feeling of a room, even though it is open to the sky. To do this, define it at the corners with columns, perhaps roof it partially with a trellis or a sliding canvas roof, and create ""walls"" around it, with fences, sitting walls, screens, hedges, or the exterior walls of the building itself.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//163/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//163/back.gif"
"164","STREET WINDOWS","BUILDINGS","/100%","/80%","51, 61, 100, 101","180, 236, 238, 246","A street without windows is blind and frightening. And it is equally uncomfortable to be in a house which bounds a public street with no window at all on the street.","Where buildings run alongside busy streets, build windows with window seats, looking out onto the street. Place them in bedrooms or at some point on a passage or stair, where people keep passing by. On the first floor, keep these windows high enough to be private.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//164/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//164/back.gif"
"165","OPENING TO THE STREET","BUILDINGS","/100%","/80%","43, 44, 45, 46, 47, 88, 101, 164","121, 163, 243","The sight of action is an incentive for action. When people can see into spaces from the street their world is enlarged and made richer, there is more understanding; and there is the possibility for communication, learning.","In any public space which depends for its success on its exposure to the street, open it up, with a fully opening wall which can be thrown wide open, and if it is possible, include some part of the activity on the far side of the pedestrian path, so that it actually straddles the path, and people walk through it as they walk along the path. There are dozens of ways to build such an opening. For example, a wall can be made very cheaply with a simple plywood hanging shutter sliding on an overhead rail, which can be removed to open up completely, and locked in place at night.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//165/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//165/back.gif"
"166","GALLERY SURROUND","BUILDINGS","/100%","/80%","100, 118, 119, 119, 160","140, 163, 167, 193, 226","If people cannot walk out from the building onto balconies and terraces which look toward the outdoor space around the building, then neither they themselves nor the people outside have any medium which helps them feel the building and the larger public world are intertwined.","Whenever possible, and at every story, build porches, galleries, arcades, balconies, niches, outdoor seats, awnings, trellised rooms, and the like at the edges of buildings - especially where they open off public spaces and streets, and connect them by doors, directly to the rooms inside.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//166/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//166/back.gif"
"167","SIX-FOOT BALCONY","BUILDINGS","/100%","/100%","119, 166","161, 163, 191, 193, 226, 243","Balconies and porches which are less than six feet deep are hardly ever used.","Whenever you build a balcony, a porch, a gallery, or a terrace always make it at least six feet deep. If possible, recess at least a part of it into the building so that it is not cantilevered out and separated from the building by a simple line, and enclose it partially.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//167/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//167/back.gif"
"168","CONNECTION TO THE EARTH","BUILDINGS","/100%","/100%","119, 140, 160, 166, 167","130, 140, 163, 169, 215, 247, 248","A house feels isolated from the nature around it, unless its floors are interleaved directly with the earth that is around the house.","Connect the building to the earth around it by building a series of paths and terraces and steps around the edge. Place them deliberately to make the boundary ambiguous - so that it is impossible to say exactly where the building stops and earth begins.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//168/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//168/back.gif"
"169","TERRACED SLOPE","BUILDINGS","/100%","/80%","104, 160, 168","170, 177, 243, 245","On sloping land, erosion caused by run off can kill the soil. It also creates uneven distribution of rainwater over the land, which naturally does less for plant life than it could if it were evenly distributed.","On all land which slopes - in fields, in parks, in public gardens, even in the private gardens around a house - make a system of terraces and bunds which follow the contour lines. Make them by building low walls along the contour lines, and then backfilling them with earth to form the terraces.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//169/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//169/back.gif"
"17","RING ROADS","TOWNS","/80%","/80%","11, 16, 34","13, 25, 42, 97","It is not possible to avoid the need for high speed roads in modern society; but it is essential to place them and build them in such a way that they do not destroy communities or countryside.","Place high speed roads (freeways and other major arteries) so that:  1. At least one high speed road lies tangent to each local transport area.  2. Each local transport area has at least one side not bounded by a high speed road' but directly open to the countryside. 3. The road is always sunken, or shielded along its length by berms, or earth, or industrial buildings, to protect the nearby neighborhoods from noise.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//17/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//17/back.gif"
"170","FRUIT TREES","BUILDINGS","/100%","/80%","67, 111","120, 171, 176","In the climates where fruit trees grow, the orchards give the land an almost magical identity: think of the orange groves of Southern California, the cherry trees of Japan, the olive trees of Greece. But the growth of cities seems always to destroy these trees and the quality they possess.","Plant small orchards of fruit trees in gardens and on common land along paths and streets, in parks, in neighborhoods: wherever there are well-established groups that can themselves care for the trees and harvest the fruit.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//170/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//170/back.gif"
"171","TREE PLACES","BUILDINGS","/100%","/100%","104, 170","163, 174, 176, 241, 243","When trees are planted or pruned without regard for the special places they can create, they are as good as dead for the people who need them.","If you are planting trees, plant them according to their nature, to form enclosures, avenues, squares, groves, and single spreading trees toward the middle of open spaces. And shape the nearby buildings in response to trees, so that the trees themselves, and the trees and buildings together, form places which people can use.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//171/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//171/back.gif"
"172","GARDEN GROWING WILD","BUILDINGS","/100%","/100%","169, 171","71, 175, 176, 245","A garden which grows true to its own laws is not a wilderness, yet not entirely artificial either.","Grow grasses, mosses, bushes, flowers, and trees in a way which comes close to the way that they occur in nature: intermingled, without barriers between them, without bare earth, without formal flower beds, and with all the boundaries and edges made in rough stone and brick and wood which become a part of the natural growth.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//172/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//172/back.gif"
"173","GARDEN WALL","BUILDINGS","/100%","/80%","59, 60, 111, 140","106, 114, 134, 140, 174, 193","Gardens and small public parks don't give enough relief from noise unless they are well protected.","Form some kind of enclosure to protect the interior of a quiet garden from the sights and sounds of passing traffic. If it is a large garden or a park, the enclosure can be soft, can include bushes, trees, slopes, and so on. The smaller the garden, however, the harder and more definite the enclosure must become. In a very small garden, form the enclosure with buildings or walls; even hedges and fences will not be enough to keep out sound.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//173/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//173/back.gif"
"174","TRELLISED WALK","BUILDINGS","/100%","/100%","106, 112, 120, 163, 170, 171, 175","226, 238, 246, 247","Trellised walks have their own special beauty. They are so unique, so different from other ways of shaping a path, that they are almost archetypal.","Where paths need special protection or where they need some intimacy, build a trellis over the path and plant it with climbing flowers. Use the trellis to help shape the outdoor spaces on either side of it.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//174/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//174/back.gif"
"175","GREENHOUSE","BUILDINGS","/80%","/80%","37, 41, 67","145, 176, 177, 178, 180, 201","Many efforts are being made to harness solar energy by converting it into hot water or electric power. And yet the easiest way to harness solar energy is the most obvious and the oldest: namely, to trap the heat inside a greenhouse and use it for growing flowers and vegetables.","In temperate climates, build a greenhouse as part of your house or office, so that it is both a ""room"" of the house which can be reached directly without going outdoors and a part of the garden which can be reached directly from the garden.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//175/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//175/back.gif"
"176","GARDEN SEAT","BUILDINGS","/80%","/80%","161, 172","238, 241","Somewhere in every garden, there must be at least one spot, a quiet garden seat, in which a person - or two people - can reach into themselves and be in touch with nothing else but nature.","Make a quiet place in the garden - a private enclosure with a comfortable seat, thick planting, sun. Pick the place for the seat carefully; pick the place that will give you the most intense kind of solitude.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//176/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//176/back.gif"
"177","VEGETABLE GARDEN","BUILDINGS","/100%","/80%","67, 111, 170","144, 178","In a healthy town every family can grow vegetables for itself. The time is past to think of this as a hobby for enthusiasts; it is a fundamental part of human life.","Set aside one piece of land either in the private garden or on common land as a vegetable garden. About one-tenth of an acre is needed for each family of four. Make sure the vegetable garden is in a sunny place and central to all the households it serves. Fence it in and build a small storage shed for gardening tools beside it.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//177/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//177/back.gif"
"178","COMPOST","BUILDINGS","/100%","/80%","37, 74, 170, 177","144","Our current ways of getting rid of sewage poison the great bodies of natural water, and rob the land around our buildings of the nutrients they need.","Arrange all toilets over a dry composting chamber. Lead organic garbage chutes to the same chamber, and use the combined products for fertilizer.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//178/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//178/back.gif"
"179","ALCOVES","BUILDINGS","/100%","/100%","129, 139, 142, 146, 150, 151","180, 190, 191, 193, 202, 211, 226","No homogeneous room, of homogeneous height, can serve a group of people well. To give a group a chance to be together, as a group, a room must also give them the chance to be alone, in one's and two's in the same space.","Make small places at the edge of any common room, usually no more than 6 feet wide and 3 to 6 feet deep and possibly much smaller. These alcoves should be large enough for two people to sit, chat, or play and sometimes large enough to contain a desk or a table.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//179/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//179/back.gif"
"18","NETWORK OF LEARNING","TOWNS","/100%","/80%","","43, 57, 83, 84, 85, 86, 157","In a society which emphasizes teaching, children and students - and adults - become passive and unable to think or act for themselves. Creative, active individuals can only grow up in a society which emphasizes learning instead of teaching.","Instead of the lock-step of compulsory schooling in a fixed place, work in piecemeal ways to decentralize the process of learning and enrich it through contact with many places and people all over the city: workshops, teachers at home or walking through the city, professionals willing to take on the young as helpers, older children teaching younger children, museums, youth groups traveling, scholarly seminars, industrial workshops, old people, and so on. Conceive of all these situations as forming the backbone of the learning process; survey all these situations, describe them, and publish them as the city's ""curriculum""; then let students, children, their families and neighborhoods weave together for themselves the situations that comprise their ""school"" paying as they go with standard vouchers, raised by community tax. Build new educational facilities in a way which extends and enriches this network.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//18/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//18/back.gif"
"180","WINDOW PLACE","BUILDINGS","/100%","/100%","130, 134, 159, 164","179, 202, 221, 222, 223, 231","Everybody loves window seats, bay windows, and big windows with low sills and comfortable chairs drawn up to them.","In every room where you spend any length of time during the day, make at least one window into a ""window place.""","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//180/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//180/back.gif"
"181","THE FIRE","BUILDINGS","/100%","/80%","129","178, 180, 185","There is no substitute for fire.","Bbuild the fire in a common space - perhaps in the kitchen - where it provides a natural focus for talk and dreams and thought. Adjust the location until it knits together the social spaces and rooms around it, giving them each a glimpse of the fire; and make a window or some other focus to sustain the place during the times when the fire is out.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//181/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//181/back.gif"
"182","EATING ATMOSPHERE","BUILDINGS","/80%","/80%","139, 147","200, 201, 202, 250, 251, 252","When people eat together, they may actually be together in spirit - or they may be far apart. Some rooms invite people to eat leisurely and comfortably and feel together, while others force people to eat as quickly as possible so they can go somewhere else to relax.","Put a heavy table in the center of the eating space - large enough for the whole family or the group of people using it. Put a light over the table to create a pool of light over the group, and enclose the space with walls or with contrasting darkness. Make the space large enough so the chairs can be pulled back comfortably, and provide shelves and counters close at hand for things related to the meal.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//182/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//182/back.gif"
"183","WORKSPACE ENCLOSURE","BUILDINGS","/100%","/100%","146, 152, 157, 179","185, 191, 192, 193, 197, 200, 201, 252","People cannot work effectively if their workspace is too enclosed or too exposed. A good workspace strikes the balance.","Give each workspace an area of at least 60 square feet. Build walls and windows round each workspace to such an extent that their total area (counting windows at one-half) is 50 to 75 per cent of the full enclosure that would be there if all four walls around the 60 square feet were solid. Let the front of the workspace be open for at least 8 feet in front, always into a larger space. Place the desk so that the person working at it has a view out, either to the front or to the side. If there are other people working nearby, arrange the enclosure so that the person has a sense of connection to two or three others; but never put more than eight workspaces within view or earshot of one another.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//183/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//183/back.gif"
"184","COOKING LAYOUT","BUILDINGS","/100%","/80%","139","197, 199, 200","Cooking is uncomfortable if the kitchen counter is too short and also if it is too long.","To strike the balance between the kitchen which is too small, and the kitchen which is too spread out, place the stove, sink, and food storage and counter in such a way that:","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//184/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//184/back.gif"
"185","SITTING CIRCLE","BUILDINGS","/100%","/80%","127, 142","129, 142, 180, 181, 191, 193, 251, 252","A group of chairs, a sofa and a chair, a pile of cushions - these are the most obvious things in everybody's life and yet to make them work, so people become animated and alive in them, is a very subtle business. Most seating arrangements are sterile, people avoid them, nothing ever happens there. Others seem somehow to gather life around them, to concentrate and liberate energy. What is the difference between the two?","Place each sitting space in a position which is protected, not cut by paths or movement, roughly circular, made so that the room itself helps to suggest the circle - not too strongly - with paths and activities around it, so that people naturally gravitate toward the chairs when they get into the mood to sit. Place the chairs and cushions loosely in the circle, and have a few too many.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//185/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//185/back.gif"
"186","COMMUNAL SLEEPING","BUILDINGS","/80%","/80%","136, 137, 138, 143, 187, 188","143, 179, 187, 188, 189","In many traditional and primitive cultures, sleep is a communal activity without the sexual overtones it has in the West today. We believe that it may be a vital social function, which plays a role as fundamental and as necessary to people as communal eating.","Arrange the sleeping area so that there is the possibility for children and adults to sleep in the same space, in sight and sound of one another, at least as an occasional alternative to their more usual sleeping habits.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//186/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//186/back.gif"
"187","MARRIAGE BED","BUILDINGS","/80%","/80%","136","188, 189, 190, 191, 249","The bed is the center of a couple's life together: the place where they lie together, talk, make love, sleep, sleep late, take care of each other during illness. But beds and bedrooms are not often made in ways which intensify their meaning, and these experiences cannot take hold.","At the right moment in a couple's life, it is important that they make for themselves a special bed - an intimate anchor point for their lives; slightly enclosed, with a low ceiling or a canopy, with the room shaped to it; perhaps a tiny room built around the bed with many windows. Give the bed some shape of its own, perhaps as a fourposter with head board that can be hand carved or painted over the years.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//187/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//187/back.gif"
"188","BED ALCOVE","BUILDINGS","/100%","/100%","141, 143, 186, 187","189, 190, 191, 193, 197, 200, 221","Bedrooms make no sense.","Don't put single beds in empty rooms called bedrooms, but instead put individual bed alcoves off rooms with other nonsleeping functions, so the bed itself becomes a tiny private haven.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//188/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//188/back.gif"
"189","DRESSING ROOM","BUILDINGS","/100%","/80%","144, 187, 188","159, 191, 197, 198, 200, 201","Dressing and undressing, storing clothes, having clothes lying around, have no reason to be part of any larger complex of activities. Indeed they disturb other activities: they are so self-contained that they themselves need concentrated space which has no other function.","Give everyone a dressing room-either private or shared - between their bed and the bathing room. Make this dressing room big enough so there is an open area in it at least six feet in diameter; about six linear feet of clothes hanging space; and another six feet of open shelves; two or three drawers; and a mirror.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//189/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//189/back.gif"
"19","WEB OF SHOPPING","TOWNS","/100%","/80%","8, 9, 11, 13","10, 31, 32, 46, 89","Shops rarely place themselves in those positions which best serve the people's needs, and also guarantee their own stability.","When you locate any individual shop, follow a three-step procedure:  1. Identify all other shops which offer the service you are interested in; locate them on the map.  2. Identify and map the location of potential consumers. Wherever possible, indicate the density or total number of potential consumers in any given area.  3. Look for the biggest gap in the existing web of shops in those areas where there are potential consumers.  4. Within the gap in the web of similar shops, locate your shop next to the largest cluster of other kinds of shops.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//19/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//19/back.gif"
"190","CEILING HEIGHT VARIETY","BUILDINGS","/100%","/100%","","145, 191, 213, 219, 219","A building in which the ceiling heights are all the same is virtually incapable of making people comfortable.","Vary the ceiling heights continuously throughout the building, especially between rooms which open into each other, so that the relative intimacy of different spaces can be felt. In particular, make ceilings high in rooms which are public or meant for large gatherings (10 to 12 feet), lower in rooms for smaller gatherings (7 to 9 feet), and very low in rooms or alcoves for one or two people (6 to 7 feet).","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//190/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//190/back.gif"
"191","THE SHAPE OF INDOOR SPACE","BUILDINGS","/100%","/100%","190","106, 193, 197, 198, 205, 210, 212, 218, 219","The perfectly crystalline squares and rectangles of ultramodern architecture make no special sense in human or in structural terms. They only express the rigid desires and fantasies which people have when they get too preoccupied with systems and the means of their production.","With occasional exceptions, make each indoor space or each position of a space, a rough rectangle, with roughly straight walls, near right angles in the corners, and a roughly symmetrical vault over each room.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//191/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//191/back.gif"
"192","WINDOWS OVERLOOKING LIFE","BUILDINGS","/100%","/80%","159, 190, 191","221, 222, 223, 239","Rooms without a view are prisons for the people who have to stay in them.","In each room, place the windows in such a way that their total area conforms roughly to the appropriate figures for your region (25 per cent or more of floor area, in the San Francisco Bay Area), and place them in positions which give the best possible views out over life: activities in streets, quiet gardens, anything different from the indoor scene.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//192/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//192/back.gif"
"193","HALF-OPEN WALL","BUILDINGS","/100%","/80%","101, 119, 131, 152, 167, 179, 185, 188, 191","179, 183, 194, 212, 226, 227, 239, 249","Rooms which are too closed prevent the natural flow of social occasions, and the natural process of transition from one social moment to another. And rooms which are too open will not support the differentiation of events which social life requires.","Adjust the walls, openings, and windows in each indoor space until you reach the right balance between open, flowing space and closed cell-like space. Do not take it for granted that each space is a room; nor, on the other hand, that all spaces must flow into each other. The right balance will always lie between these extremes: no one room entirely enclosed; and no space totally connected to another. Use combinations of columns, half-open walls, porches, indoor windows, sliding doors, low sills, french doors, sitting walls, and so on, to hit the right balance.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//193/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//193/back.gif"
"194","INTERIOR WINDOWS","BUILDINGS","/80%","/80%","101, 130, 131, 132, 135, 142, 193","237, 239","Windows are most often used to create connections between the indoor and the outdoors. But there are many cases when an indoor space needs a connecting window to another indoor space.","Put in fully glazed fixed windows between rooms which tend to be dead because they have too little action in them or where inside rooms are unusually dark.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//194/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//194/back.gif"
"195","STAIRCASE VOLUME","BUILDINGS","/100%","/80%","133, 158","125, 203, 212, 228","We are putting this pattern in the language because our experiments have shown us that lay people often make mistakes about the volume which a staircase needs and therefore make their plans unbuildable.","Make a two story volume to contain the stairs. It may be straight, L-shaped, U-shaped, or C-shaped. The stair may be 2 feet wide (for a very steep stair) or 5 feet wide for a generous shallow stair. But, in all cases, the entire stairwell must form one complete structural bay, two stories high.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//195/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//195/back.gif"
